<s>;START;31;3--1;COUNT
Number;CS;;;
of;I;;;
services;CA;;;
covered;I;;;
by;I;;;
service;I;;;
level;I;;;
agreements;I;;;
</s>;END;;;
<s>;START;31;3--2;COUNT
Number;CS;;;
of;I;;;
services;CA;;;
where;I;;;
service;I;;;
level;I;;;
agreements;I;;;
are;I;;;
backed;I;;;
up;I;;;
by;I;;;
corresponding;I;;;
OLAs;I;;;
or;I;;;
Ucs;I;;;
</s>;END;;;
<s>;START;31;3--3;COUNT
Number;CS;;;
of;I;;;
monitored;CA;;;
services;I;;;
or;I;;;
service;I;;;
level;I;;;
agreements;I;;;
where;I;;;
weak-spots;I;;;
and;I;;;
counter-measures;I;;;
are;I;;;
reported;I;;;
</s>;END;;;
<s>;START;31;3--4;COUNT
number;CS;;;
of;I;;;
services;CA;;;
or;I;;;
service;I;;;
level;I;;;
agreements;I;;;
which;I;;;
are;I;;;
regularly;I;;;
reviewed;I;;;
</s>;END;;;
<s>;START;31;3--5;COUNT
Number;CS;;;
of;I;;;
services;CA;;;
or;I;;;
service;I;;;
level;I;;;
agreements;I;;;
where;I;;;
the;I;;;
agreed;I;;;
service;I;;;
levels;I;;;
are;I;;;
fulfilled;I;;;
</s>;END;;;
<s>;START;31;3--6;COUNT
number;CS;;;
of;I;;;
issues;CA;;;
in;I;;;
the;I;;;
service;I;;;
provision;I;;;
which;I;;;
are;I;;;
identified;I;;;
and;I;;;
addressed;I;;;
in;I;;;
an;I;;;
improvement;I;;;
plan;I;;;
</s>;END;;;
<s>;START;31;3--7;COUNT
Number;CS;;;
of;I;;;
incidents;CA;;;
occurring;I;;;
because;I;;;
of;I;;;
insufficient;I;;;
service;I;;;
or;I;;;
component;I;;;
capacity;I;;;
</s>;END;;;
<s>;START;31;3--9;COUNT
Number;CS;;;
of;I;;;
adjustments;CA;;;
to;I;;;
service;I;;;
and;I;;;
component;I;;;
capacities;I;;;
due;I;;;
to;I;;;
changing;I;;;
demand;I;;;
</s>;END;;;
<s>;START;31;3--10;COUNT
Number;CS;;;
of;I;;;
unplanned;CA;;;
increases;I;;;
to;I;;;
service;I;;;
or;I;;;
component;I;;;
capacity;I;;;
as;I;;;
result;I;;;
of;I;;;
capacity;I;;;
bottlenecks;I;;;
</s>;END;;;
<s>;START;31;3--15;COUNT
Number;CS;;;
of;I;;;
service;CA;;;
interruptions;I;;;
</s>;END;;;
<s>;START;31;3--18;COUNT
Number;CS;;;
of;I;;;
implemented;CA;;;
measures;I;;;
with;I;;;
the;I;;;
objective;I;;;
of;I;;;
increasing;I;;;
availability;I;;;
</s>;END;;;
<s>;START;31;3--20;COUNT
Number;CS;;;
of;I;;;
identified;CA;;;
gaps;I;;;
in;I;;;
the;I;;;
preparation;I;;;
for;I;;;
disaster;I;;;
events;I;;;
(major;I;;;
threats;I;;;
without;I;;;
any;I;;;
defined;I;;;
counter;I;;;
measures);I;;;
</s>;END;;;
<s>;START;31;3--22;COUNT
Number;CS;;;
of;I;;;
disaster;CA;;;
practices;I;;;
actually;I;;;
carried;I;;;
out;I;;;
</s>;END;;;
<s>;START;31;3--23;COUNT
Number;CS;;;
of;I;;;
identified;CA;;;
shortcomings;I;;;
in;I;;;
the;I;;;
preparation;I;;;
for;I;;;
disaster;I;;;
events;I;;;
which;I;;;
are;I;;;
identified;I;;;
during;I;;;
practices;I;;;
</s>;END;;;
<s>;START;31;3--24;COUNT
Number;CS;;;
of;I;;;
preventive;CA;;;
security;I;;;
measures;I;;;
which;I;;;
were;I;;;
implemented;I;;;
in;I;;;
response;I;;;
to;I;;;
identified;I;;;
security;I;;;
threats;I;;;
</s>;END;;;
<s>;START;31;3--26;COUNT
Number;CS;;;
of;I;;;
identified;CA;;;
security;I;;;
incidents;I;;;
classified;I;;;
by;I;;;
severity;I;;;
category;I;;;
</s>;END;;;
<s>;START;31;3--27;COUNT
Number;CS;;;
of;I;;;
security;CA;;;
incidents;I;;;
causing;I;;;
service;I;;;
interruption;I;;;
or;I;;;
reduced;I;;;
availability;I;;;
</s>;END;;;
<s>;START;31;3--28;COUNT
Number;CS;;;
of;I;;;
security;CA;;;
tests;I;;;
and;I;;;
trainings;I;;;
carried;I;;;
out;I;;;
</s>;END;;;
<s>;START;31;3--29;COUNT
Number;CS;;;
of;I;;;
identified;CA;;;
shortcomings;I;;;
in;I;;;
security;I;;;
mechanisms;I;;;
which;I;;;
were;I;;;
identified;I;;;
during;I;;;
tests;I;;;
</s>;END;;;
<s>;START;31;3--31;COUNT
Number;CS;;;
of;I;;;
conducted;CA;;;
contract;I;;;
and;I;;;
supplier;I;;;
reviews;I;;;
</s>;END;;;
<s>;START;31;3--32;COUNT
Number;CS;;;
of;I;;;
contractual;CA;;;
obligations;I;;;
which;I;;;
were;I;;;
not;I;;;
fulfilled;I;;;
by;I;;;
suppliers;I;;;
(identified;I;;;
during;I;;;
contract;I;;;
reviews);I;;;
</s>;END;;;
<s>;START;19;1--8;COUNT
number;CS;;;
of;I;;;
users;CA;;;
blocked;I;;;
for;I;;;
misusing;I;;;
email;I;;;
