<s>;START;31;3--13;FRACTION
Percentage;FS;;;
of;I;;;
services;FNU;;;
and;I;;;
infrastructure;I;;;
components;I;;;
under;I;;;
capacity;I;;;
monitoring;I;;;
</s>;END;;;
<s>;START;31;3--17;FRACTION
Percentage;FS;;;
of;I;;;
services;FNU;;;
and;I;;;
infrastructure;I;;;
components;I;;;
under;I;;;
availability;I;;;
monitoring;I;;;
</s>;END;;;
<s>;START;31;3--19;FRACTION
Percentage;FS;;;
of;I;;;
business;FNU;;;
processes;I;;;
which;I;;;
are;I;;;
covered;I;;;
by;I;;;
explicit;I;;;
service;I;;;
continuity;I;;;
targets;I;;;
</s>;END;;;
<s>;START;12;1--2;FRACTION
percentage;FS;;;
of;I;;;
problems;FNU;;;
sending;I;;;
emails;I;;;
</s>;END;;;
<s>;START;12;1--3;FRACTION
percentage;FS;;;
of;I;;;
problems;FNU;;;
receiving;I;;;
emails;I;;;
with;FDV;;;
respect;I;;;
to;I;;;
the;FDE;;;
total;I;;;
number;I;;;
of;I;;;
problems;I;;;
due;I;;;
to;I;;;
sending;I;;;
or;I;;;
receiving;I;;;
emails;I;;;
</s>;END;;;
<s>;START;21;2--2;FRACTION
Percentage;FS;;;
of;I;;;
orders;FNU;;;
which;I;;;
all;I;;;
of;I;;;
the;I;;;
items;I;;;
are;I;;;
received;I;;;
by;I;;;
customer;I;;;
in;I;;;
the;I;;;
quantities;I;;;
committed;I;;;
</s>;END;;;
<s>;START;21;2--2b;FRACTION
The;CS;;;
number;I;;;
of;I;;;
orders;CA;;;
that;I;;;
are;I;;;
received;I;;;
by;I;;;
the;I;;;
customer;I;;;
in;I;;;
the;I;;;
quantities;I;;;
committed;I;;;
divided;FDV;;;
by;I;;;
the;FDE;;;
total;I;;;
orders;I;;;
</s>;END;;;
<s>;START;21;2--22;FRACTION
The;FS;;;
percentage;I;;;
of;FNU;;;
ship-from-stock;I;;;
orders;I;;;
shipped;I;;;
within;I;;;
24;I;;;
hours;I;;;
of;I;;;
order;I;;;
receipt;I;;;
</s>;END;;;
<s>;START;21;2--22b;FRACTION
For;DUMMY;;;
services,;I;;;
this;I;;;
metric;I;;;
is;I;;;
the;FS;;;
proportion;I;;;
for;I;;;
services;FNU;;;
that;I;;;
are;I;;;
filled;I;;;
so;I;;;
that;I;;;
the;I;;;
service;I;;;
is;I;;;
completed;I;;;
within;I;;;
24;I;;;
hours;I;;;
</s>;END;;;
<s>;START;18;1--3092;FRACTION
%;FS;;;
cancelled;FNU;;;
RFCs;I;;;
due;I;;;
to;I;;;
Registry;I;;;
error;I;;;
from;FDV;;;
all;FDE;;;
registered;I;;;
RFCs;I;;;
</s>;END;;;
<s>;START;18;1--3112;FRACTION
%;FS;;;
Corrective;FNU;;;
RFCs;I;;;
from;FDV;;;
all;FDE;;;
Approved;I;;;
RFCs;I;;;
</s>;END;;;
<s>;START;22;2--9;FRACTION
The;FS;;;
ratio;I;;;
of;I;;;
usable;FNU;;;
output;I;;;
from;I;;;
a;I;;;
process;I;;;
relative;FDV;;;
to;I;;;
its;FDE;;;
input;I;;;
</s>;END;;;
<s>;START;22;2--12;FRACTION
the;FNU;;;
weight;I;;;
of;I;;;
packaging;I;;;
material;I;;;
waste;I;;;
as;FDV;;;
a;I;;;
percent;I;;;
of;I;;;
total;FDE;;;
solid;I;;;
waste;I;;;
generated;I;;;
</s>;END;;;
<s>;START;22;2--31;FRACTION
The;FNU;;;
weight;I;;;
of;I;;;
waste;I;;;
divided;FDV;;;
by;I;;;
the;FDE;;;
weight;I;;;
of;I;;;
finished;I;;;
goods;I;;;
product;I;;;
produced.;I;;;
</s>;END;;;
