<s>;START;31;3--11;TIME;
Resolution;TI;;;;
time;I;;;;
for;I;;;;
identified;TSE;;;;
capacity;I;;;;
bottlenecks;I;;;;
</s>;END;;;;
<s>;START;31;3--16;TIME;
Average;SC;;;;
duration;TI;;;;
of;I;;;;
service;TSE;;;;
interruptions;I;;;;
</s>;END;;;;
<s>;START;31;3--21;TIME;
Duration;TI;;;;
from;TDI;;;;
the;TFR;;;;
identification;I;;;;
of;I;;;;
a;I;;;;
disaster-related;I;;;;
risk;I;;;;
to;TTT;;;;
the;TTO;;;;
implementation;I;;;;
of;I;;;;
a;I;;;;
suitable;I;;;;
continuity;I;;;;
mechanism;I;;;;
</s>;END;;;;
<s>;START;31;3--25;TIME;
Duration;TI;;;;
from;TDI;;;;
the;TFR;;;;
identification;I;;;;
of;I;;;;
a;I;;;;
security;I;;;;
threat;I;;;;
to;TTT;;;;
the;TTO;;;;
implementation;I;;;;
of;I;;;;
a;I;;;;
suitable;I;;;;
counter;I;;;;
measure;I;;;;
</s>;END;;;;
<s>;START;14;1--1;TIME;
Elapsed;TI;;;;
time;I;;;;
between;TDI;;;;
an;TFR;;;;
action;I;;;;
requirement;I;;;;
is;I;;;;
notified;I;;;;
until;TTT;;;;
the;TTO;;;;
action;I;;;;
is;I;;;;
performed.;I;;;;
</s>;END;;;;
<s>;START;14;1--2;TIME;
Elapsed;TI;;;;
time;I;;;;
between;TDI;;;;
action;TFR;;;;
is;I;;;;
performed;I;;;;
until;TTT;;;;
the;TTO;;;;
corresponding;I;;;;
documentation;I;;;;
is;I;;;;
delivered.;I;;;;
</s>;END;;;;
<s>;START;21;2--3;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
building;TSE;;;;
shipment;I;;;;
loads.;I;;;;
</s>;END;;;;
<s>;START;21;2--4;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
required;I;;;;
for;I;;;;
customer;TSE;;;;
order;I;;;;
consolidation.;I;;;;
</s>;END;;;;
<s>;START;21;2--23;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
product;TSE;;;;
installation;I;;;;
</s>;END;;;;
<s>;START;21;2--24;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
the;TSE;;;;
generation;I;;;;
and;I;;;;
issuance;I;;;;
of;I;;;;
an;I;;;;
invoice;I;;;;
</s>;END;;;;
<s>;START;21;2--25;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
product;TSE;;;;
loading;I;;;;
and;I;;;;
the;I;;;;
generation;I;;;;
of;I;;;;
shipping;I;;;;
documentation;I;;;;
</s>;END;;;;
<s>;START;21;2--28;TIME;
Any;SC;;;;
leadtime;TI;;;;
during;I;;;;
the;TSE;;;;
order;I;;;;
fulfillment;I;;;;
process;I;;;;
where;I;;;;
no;I;;;;
activity;I;;;;
takes;I;;;;
place;I;;;;
which;I;;;;
is;I;;;;
imposed;I;;;;
by;I;;;;
customer;I;;;;
requirements.;I;;;;
</s>;END;;;;
<s>;START;21;2--29;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
packing;TSE;;;;
a;I;;;;
product;I;;;;
for;I;;;;
shipment.;I;;;;
</s>;END;;;;
<s>;START;21;2--31;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
product;TSE;;;;
pick;I;;;;
</s>;END;;;;
<s>;START;21;2--32;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
processing;TSE;;;;
inquiries;I;;;;
and;I;;;;
quotes;I;;;;
</s>;END;;;;
<s>;START;21;2--33;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
receiving;TSE;;;;
and;I;;;;
verifying;I;;;;
an;I;;;;
order;I;;;;
at;I;;;;
the;I;;;;
customer;I;;;;
site;I;;;;
</s>;END;;;;
<s>;START;21;2--34;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
receiving;TSE;;;;
a;I;;;;
transfer;I;;;;
of;I;;;;
product;I;;;;
to;I;;;;
deliver;I;;;;
processes;I;;;;
from;I;;;;
source;I;;;;
or;I;;;;
make;I;;;;
</s>;END;;;;
<s>;START;21;2--35;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
receiving;TSE;;;;
and;I;;;;
verifying;I;;;;
an;I;;;;
order;I;;;;
at;I;;;;
the;I;;;;
customer;I;;;;
site;I;;;;
</s>;END;;;;
<s>;START;21;2--36;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
reserving;TSE;;;;
inventory;I;;;;
and;I;;;;
determining;I;;;;
a;I;;;;
delivery;I;;;;
date;I;;;;
</s>;END;;;;
<s>;START;21;2--37;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
routing;TSE;;;;
shipments;I;;;;
</s>;END;;;;
<s>;START;21;2--38;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
selecting;TSE;;;;
carriers;I;;;;
and;I;;;;
rating;I;;;;
shipments;I;;;;
</s>;END;;;;
<s>;START;21;2--39;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
shipping;TSE;;;;
product;I;;;;
</s>;END;;;;
<s>;START;13;1--1;TIME;
the;TI;;;;
elapsed;I;;;;
time;I;;;;
between;TDI;;;;
the;TFR;;;;
notification;I;;;;
to;I;;;;
contractor;I;;;;
of;I;;;;
the;I;;;;
installation;I;;;;
requirement;I;;;;
and;TTT;;;;
its;TTO;;;;
planning.;I;;;;
</s>;END;;;;
<s>;START;13;1--2;TIME;
the;TI;;;;
elapsed;I;;;;
time;I;;;;
between;TDI;;;;
APC;TFR;;;;
contracts;I;;;;
the;I;;;;
