<s>;START;0;0--1;TIME
the;TI;;;
duration;I;;;
between;TDI;;;
the;I;;;
time;I;;;
instants;I;;;
when;I;;;
activity1;TFR;;;
becomes;I;;;
state1;I;;;
and;TTT;;;
when;I;;;
activity2;TTO;;;
becomes;I;;;
state2;I;;;
</s>;END;;;
<s>;START;0;0--2;TIME
average;SC;;;
duration;TI;;;
between;TDI;;;
the;I;;;
time;I;;;
instants;I;;;
when;I;;;
activity1;TFR;;;
becomes;I;;;
state1;I;;;
and;TTT;;;
when;I;;;
activity2;TTO;;;
becomes;I;;;
state2;I;;;
</s>;END;;;
<s>;START;0;0--3;TIME
minimum;SC;;;
duration;TI;;;
between;TDI;;;
the;I;;;
time;I;;;
instants;I;;;
when;I;;;
activity1;TFR;;;
becomes;I;;;
state1;I;;;
and;TTT;;;
when;I;;;
activity2;TTO;;;
becomes;I;;;
state2;I;;;
</s>;END;;;
<s>;START;0;0--4;TIME
minimal;SC;;;
duration;TI;;;
between;TDI;;;
the;I;;;
time;I;;;
instants;I;;;
when;I;;;
activity1;TFR;;;
becomes;I;;;
state1;I;;;
and;TTT;;;
when;I;;;
activity2;TTO;;;
becomes;I;;;
state2;I;;;
</s>;END;;;
<s>;START;0;0--7;COUNT
the;CS;;;
number;I;;;
of;I;;;
times;I;;;
activity1;CA;;;
becomes;I;;;
state1;I;;;
</s>;END;;;
<s>;START;0;0--8;COUNT
maximum;SC;;;
number;CS;;;
of;I;;;
times;I;;;
activity1;CA;;;
becomes;I;;;
state1;I;;;
</s>;END;;;
<s>;START;0;0--9;COUNT
minimum;SC;;;
number;CS;;;
of;I;;;
times;I;;;
activity1;CA;;;
becomes;I;;;
state1;I;;;
</s>;END;;;
<s>;START;0;0--10;COUNT
maximal;SC;;;
number;CS;;;
of;I;;;
times;I;;;
activity1;CA;;;
becomes;I;;;
state1;I;;;
</s>;END;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
